Merkmal;Jan 22;Feb 22;Mrz 22;Apr 22;;;;;;;;;;;;
arbeitsuchende erwerbsfähige Leistungsberechtigte (ELB);6.534;6.512;6.500;6.458;;;;;;;;;;;;
Ohne abgeschlossene Berufsausbildung;433;433;434;435;;;;;;;;;;;;
Betriebliche/schulische Ausbildung;7.684;7.667;7.620;7.591;;;;;;;;;;;;
Akademische Ausbildung;4.220;4.196;4.208;4.196;;;;;;;;;;;;
Ohne Angabe;429;1.000;416;412;;;;;;;;;;;;
Kein Hauptschulabschluss;2.595;2.035;2.557;2.546;;;;;;;;;;;;
Hauptschulabschluss;1.408;1.391;1.408;1.375;;;;;;;;;;;;
Mittlere Reife;1.187;644;1.149;1.171;;;;;;;;;;;;
Fachhochschulreife;23.092;22.969;22.762;22.579;;;;;;;;;;;;
Abitur/Hochschulreife;17.085;16.959;16.831;16.680;;;;;;;;;;;;
Ohne Angabe;4.884;4.920;4.847;4.846;;;;;;;;;;;;
